no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
1,0,0,1,0,0,0,2,2018,1,27,1,1,0,15,0.0,2,1
3,0,0,3,0,0,3,3,2018,12,1,4,0,0,0,156.33,2,1
3,0,0,2,0,0,3,141,2018,9,23,4,0,0,0,163.8,1,1
1,0,2,4,0,0,0,245,2018,7,6,3,0,0,0,110.0,0,0
2,0,2,0,1,0,0,75,2018,10,30,3,0,0,0,105.0,0,0
2,0,2,5,0,0,0,15,2018,12,20,4,0,0,0,88.4,0,1
1,0,0,2,3,0,0,0,2018,8,10,4,0,0,0,88.0,0,1
1,0,0,2,0,0,0,188,2018,6,15,3,0,0,0,130.0,0,0
1,0,2,1,1,0,0,110,2017,7,25,3,0,0,0,36.25,0,1
2,0,2,2,0,0,3,107,2018,11,6,4,0,0,0,117.28,0,1
2,0,0,4,0,0,0,122,2018,5,3,4,0,0,0,99.45,0,1
3,0,0,4,0,0,0,90,2018,10,19,3,0,0,0,105.4,0,1
2,0,2,0,0,0,0,25,2018,6,12,4,0,0,0,94.35,1,1
2,1,2,5,0,0,0,172,2018,7,15,4,0,0,0,112.32,0,0
2,0,1,0,3,0,0,3,2017,9,21,4,0,0,0,133.0,1,1
2,0,0,4,0,0,0,55,2018,3,1,4,0,0,0,78.08,1,1
2,0,0,3,0,0,0,79,2017,9,2,4,0,0,0,89.25,0,0
1,0,1,2,0,0,3,83,2018,7,15,4,0,0,0,118.8,1,0
1,0,0,1,3,0,0,0,2018,6,22,4,0,0,0,129.0,1,1
1,0,1,2,0,0,0,219,2017,9,4,3,0,0,0,76.67,0,1
2,0,0,1,1,0,0,55,2018,4,6,3,0,0,0,104.0,0,1
2,0,0,3,0,0,3,146,2018,5,19,4,0,0,0,121.55,1,1
2,0,0,3,0,0,0,126,2018,6,2,3,0,0,0,80.75,1,1
2,0,1,3,0,0,0,21,2018,5,9,4,0,0,0,126.0,1,1
2,0,2,3,0,0,0,25,2017,9,13,4,0,0,0,75.6,0,1
2,0,2,2,0,0,0,134,2017,12,4,3,0,0,0,65.0,0,1
2,0,1,2,0,0,0,290,2018,6,17,3,0,0,0,72.0,1,1
1,0,1,2,0,0,0,18,2017,12,4,4,0,0,0,118.67,0,1
3,0,2,5,0,0,0,118,2018,7,11,4,0,0,0,133.46,1,1
2,0,1,3,0,0,0,85,2018,11,14,4,0,0,0,89.7,2,1
2,0,1,2,1,0,0,105,2017,10,12,3,0,0,0,110.0,0,0
1,0,0,1,0,0,0,2,2018,1,14,2,0,0,0,66.0,0,1
2,0,1,2,0,0,0,193,2018,6,20,3,0,0,0,120.0,0,0
2,0,0,1,3,0,0,0,2018,1,2,4,0,0,0,95.0,0,1
1,0,1,2,0,0,0,237,2017,9,14,4,0,0,0,80.75,0,0
2,1,2,0,0,0,3,6,2018,8,28,3,0,0,0,120.5,0,1
1,0,0,1,0,0,3,6,2017,9,23,4,0,0,0,0.0,1,1
2,0,0,2,3,0,0,47,2018,9,9,4,0,0,0,125.1,1,0
1,0,1,1,0,0,0,12,2018,2,6,4,0,0,0,86.0,0,1
1,0,2,3,0,0,0,115,2018,2,27,3,0,0,0,60.0,0,0
2,1,0,1,0,0,0,0,2018,6,2,4,0,0,0,158.0,0,1
2,0,0,2,0,0,0,132,2018,5,6,4,0,0,0,105.3,0,1
2,0,0,1,0,0,0,0,2018,8,17,4,0,0,0,150.0,1,1
2,0,2,1,0,0,0,2,2018,12,3,4,0,0,0,109.0,1,1
2,0,0,1,0,0,3,2,2018,2,26,4,0,0,0,108.0,1,1
2,0,0,3,3,0,0,52,2018,2,25,4,0,0,0,67.5,0,0
2,0,1,2,0,0,0,191,2018,6,3,4,0,0,0,132.0,0,0
2,0,2,0,0,0,0,61,2017,10,4,3,0,0,0,91.0,0,1
1,0,0,2,0,0,0,9,2017,9,30,4,0,0,0,120.0,2,1
2,0,0,1,0,1,0,1,2018,2,27,4,0,0,0,112.0,1,1
2,2,1,0,0,0,5,99,2018,5,29,4,0,0,0,198.9,2,1
2,0,1,2,0,0,0,62,2018,11,4,4,0,0,0,97.2,2,1
1,0,1,1,0,1,0,0,2018,4,23,4,0,0,0,123.0,0,1
2,0,2,5,3,0,0,2,2018,8,23,4,0,0,0,86.28,0,1
2,0,2,0,1,0,0,275,2018,4,17,3,0,0,0,110.0,0,0
2,0,0,4,1,0,3,49,2018,12,7,4,0,0,0,94.51,1,1
3,0,0,1,0,0,3,19,2018,4,27,4,0,0,0,167.0,0,0
1,0,0,2,0,0,0,4,2018,2,23,4,0,0,0,0.0,0,1
1,0,1,1,1,0,4,96,2017,9,28,3,0,0,0,123.5,0,0
0,2,1,2,0,0,1,78,2018,8,19,4,0,0,0,115.68,1,1
2,0,2,1,0,0,0,87,2018,10,23,3,0,0,0,80.75,1,1
2,0,1,3,0,0,0,184,2018,10,17,4,0,0,0,96.3,2,1
2,0,0,3,0,0,0,304,2018,11,3,3,0,0,0,89.0,0,0
3,0,0,2,0,0,3,204,2018,10,7,4,0,0,0,141.3,0,0
2,0,1,1,0,0,0,174,2017,10,10,4,0,0,0,70.0,0,0
2,2,2,1,0,0,5,9,2017,9,12,4,0,0,0,177.0,2,1
1,1,1,3,3,0,0,116,2018,10,24,4,0,0,0,87.08,1,1
2,0,1,3,3,0,0,127,2018,8,1,4,0,0,0,94.5,0,0
1,0,2,6,0,0,0,51,2017,9,30,4,0,0,0,69.12,1,1
2,0,1,2,0,0,0,81,2018,3,25,3,0,0,0,65.0,0,1
2,0,1,3,0,0,0,158,2018,6,30,4,0,0,0,90.95,1,0
2,0,1,2,3,0,0,36,2018,10,28,4,0,0,0,109.0,1,1
2,0,1,1,0,0,3,23,2018,9,24,4,0,0,0,169.0,2,1
2,0,0,3,0,0,0,44,2018,11,22,4,0,0,0,97.07,1,0
1,0,2,1,0,0,0,163,2018,10,15,4,0,0,0,115.0,0,0
2,0,0,4,0,0,0,116,2018,5,4,3,0,0,0,76.0,1,1
2,0,2,4,0,0,0,167,2018,8,18,3,0,0,0,72.25,0,1
2,0,2,3,0,0,0,189,2018,7,30,4,0,0,0,90.95,1,1
2,0,0,3,0,0,3,205,2018,12,1,3,0,0,0,69.36,0,1
2,0,2,2,0,0,0,176,2018,10,7,4,0,0,0,94.12,0,0
2,0,1,4,0,0,0,9,2017,8,31,4,0,0,0,109.0,2,1
2,0,2,0,0,0,0,14,2018,9,11,4,0,0,0,118.0,1,1
1,0,0,2,0,0,0,64,2018,5,17,2,0,0,0,130.0,0,1
2,0,0,3,0,0,0,144,2018,9,22,4,0,0,0,129.6,1,1
2,0,1,2,0,0,3,18,2018,12,30,4,0,0,0,148.0,2,1
2,0,2,0,3,0,0,11,2018,2,14,4,0,0,0,81.0,1,1
2,0,2,4,0,0,0,5,2017,9,10,4,0,0,0,134.83,0,1
2,0,2,0,0,0,0,228,2018,5,22,4,0,0,0,106.2,1,0
1,0,0,3,0,0,0,1,2018,1,19,4,0,0,0,89.0,1,1
1,0,0,2,0,0,0,18,2018,2,9,4,0,0,0,67.22,1,1
2,0,1,2,0,0,0,168,2018,4,22,4,0,0,0,85.0,0,0
1,0,0,1,0,0,0,2,2018,2,17,4,0,0,0,86.0,0,1
2,0,2,2,0,0,0,98,2018,4,9,4,0,0,0,86.7,1,0
2,2,0,2,0,0,5,2,2018,12,1,4,0,0,0,148.2,0,1
2,0,0,4,0,0,0,80,2018,11,15,4,0,0,0,88.4,1,1
1,0,2,3,0,0,0,81,2018,7,3,4,0,0,0,108.9,1,1
2,0,0,3,0,0,3,80,2018,12,27,4,0,0,0,114.9,1,1
2,0,0,1,3,0,0,52,2018,11,5,4,0,0,0,88.0,1,1
2,0,1,2,0,0,0,32,2017,10,12,4,0,0,0,73.87,0,1
2,0,0,4,0,0,5,2,2018,10,4,4,0,0,0,175.56,1,1
1,0,0,1,0,1,0,28,2018,7,14,2,0,0,0,67.0,0,1
2,0,0,1,3,0,0,16,2018,4,22,4,0,0,0,119.0,1,1
2,0,1,3,0,0,0,100,2018,5,19,4,0,0,0,136.0,1,1
2,0,0,3,0,0,0,0,2017,8,12,4,0,0,0,138.0,0,1
2,0,0,2,0,1,0,166,2018,9,30,4,0,0,0,99.78,1,1
2,0,2,1,0,0,0,109,2018,4,30,4,0,0,0,77.03,1,1
1,0,0,2,0,0,0,5,2017,9,9,4,0,0,0,114.0,2,1
2,0,2,2,0,0,3,167,2018,10,1,4,0,0,0,122.4,0,0
2,0,0,2,0,0,3,23,2018,4,19,4,0,0,0,129.0,1,1
2,0,0,2,1,0,0,74,2017,9,18,3,0,0,0,101.5,0,1
1,0,1,2,0,0,0,253,2018,9,26,4,0,0,0,2.0,0,1
2,0,1,5,0,0,3,115,2018,2,29,4,0,0,0,102.33,1,1
2,0,0,1,3,1,0,66,2018,9,3,4,0,0,0,96.3,1,1
2,0,0,1,0,0,0,0,2018,5,26,4,0,0,0,161.0,0,0
3,0,0,1,0,0,3,35,2018,6,21,4,0,0,0,132.3,0,0
1,0,0,3,1,0,0,71,2018,5,10,3,0,0,0,98.0,0,1
2,0,0,1,0,1,3,21,2018,5,4,4,0,0,0,165.0,1,1
2,2,1,1,0,1,5,2,2018,8,6,4,0,0,0,225.0,2,1
1,0,1,2,0,0,0,40,2018,11,7,4,0,0,0,169.2,0,1
3,0,1,2,0,0,3,50,2018,6,3,4,0,0,0,150.3,2,1
2,0,1,1,0,0,0,157,2018,7,16,3,0,0,0,112.0,0,0
2,0,1,3,0,0,0,50,2018,8,29,3,0,0,0,87.84,0,1
2,0,0,2,0,0,3,38,2018,2,5,4,0,0,0,87.3,1,0
2,0,2,2,0,0,0,36,2017,10,18,4,0,0,0,103.5,1,1
1,0,0,3,0,0,0,63,2018,5,17,3,0,0,0,136.0,0,1
2,0,0,2,1,0,0,39,2017,8,14,3,0,0,0,109.0,0,1
2,0,2,3,0,0,0,0,2018,4,10,3,0,0,0,80.75,0,1
2,0,2,1,3,0,1,150,2018,4,9,4,0,0,0,86.62,1,0
1,0,0,1,0,0,0,16,2018,2,26,2,0,0,0,31.0,2,1
2,2,1,1,0,0,5,71,2018,4,18,4,0,0,0,168.3,2,1
2,0,0,1,3,0,0,51,2018,7,15,4,0,0,0,94.5,0,1
1,0,0,4,0,0,3,0,2017,10,7,4,0,0,0,159.75,1,1
2,0,2,1,0,0,0,166,2018,8,27,4,0,0,0,96.3,0,0
2,0,1,5,1,0,0,213,2018,8,23,4,0,0,0,123.25,0,0
2,0,0,3,0,0,0,213,2018,6,7,3,0,0,0,130.0,0,0
1,0,1,1,1,0,0,301,2018,7,30,3,0,0,0,90.0,0,1
2,0,0,3,0,0,0,92,2017,11,26,4,0,0,0,72.25,1,0
2,0,0,2,3,0,0,47,2018,9,9,4,0,0,0,125.1,1,1
2,0,0,1,3,0,0,1,2018,8,20,4,0,0,0,139.0,0,1
2,0,2,1,0,0,0,19,2017,12,5,4,0,0,0,69.0,2,1
2,0,2,1,0,0,0,124,2018,10,9,4,0,0,0,118.8,2,1
2,0,1,5,0,0,3,116,2018,8,22,4,0,0,0,131.4,0,0
1,0,1,1,0,0,0,2,2018,4,11,2,1,1,3,65.0,0,1
2,0,0,2,1,0,0,265,2018,6,24,3,0,0,0,115.0,1,0
2,0,1,1,0,0,0,174,2017,10,10,3,0,0,0,70.0,0,0
2,0,0,3,0,0,0,308,2018,11,23,4,0,0,0,78.3,2,0
1,0,0,2,0,0,0,32,2017,11,20,3,0,0,0,73.0,0,1
2,0,0,2,0,0,0,151,2018,1,19,3,0,0,0,86.5,0,1
1,0,1,1,0,0,0,0,2018,1,18,3,0,0,0,64.5,0,1
2,0,0,3,0,0,0,183,2018,9,8,3,0,0,0,110.0,1,0
2,0,0,2,1,0,0,74,2017,9,18,3,0,0,0,101.5,0,1
2,0,2,0,1,0,0,386,2018,10,23,3,0,0,0,115.0,1,0
2,0,2,1,0,0,0,92,2018,3,26,3,0,0,0,100.0,0,0
2,0,2,2,3,0,0,6,2018,8,7,4,0,0,0,148.0,0,1
2,0,0,1,0,0,3,0,2018,12,10,4,0,0,0,133.0,0,1
2,0,2,1,0,0,0,5,2017,12,19,3,0,0,0,80.0,0,1
2,0,1,2,0,0,3,137,2018,9,30,4,0,0,0,135.9,0,0
2,0,2,2,3,0,0,208,2018,7,30,4,0,0,0,80.75,0,0
2,0,1,0,3,0,0,18,2018,9,12,4,0,0,0,89.0,0,1
2,0,1,5,0,0,0,37,2018,2,15,4,0,0,0,79.8,1,1
2,0,1,2,0,0,3,72,2018,3,14,4,0,0,0,104.4,1,1
2,0,0,2,1,0,0,273,2017,7,17,3,0,0,0,109.0,0,0
2,0,2,2,0,0,0,121,2018,7,3,4,0,0,0,107.95,0,0
2,1,0,3,0,0,5,29,2018,6,9,4,0,0,0,217.1,2,1
2,0,0,4,0,1,0,22,2018,11,1,4,0,0,0,111.0,2,1
2,2,0,4,0,0,5,0,2017,9,8,4,0,0,0,195.0,1,1
2,0,2,2,0,0,3,44,2018,4,23,4,0,0,0,117.15,1,1
2,0,1,4,0,0,0,174,2018,4,27,4,0,0,0,92.65,0,0
2,0,1,2,1,0,0,105,2017,10,12,3,0,0,0,110.0,0,0
2,0,1,3,1,0,0,129,2018,5,16,3,0,0,0,106.25,0,1
3,0,2,1,0,0,3,3,2018,6,12,4,0,0,0,150.33,0,1
2,0,1,1,3,0,0,33,2018,8,8,4,0,0,0,125.1,1,0
2,0,0,2,1,0,0,377,2018,10,14,3,0,0,0,115.0,1,0
3,0,2,1,0,0,3,29,2018,8,28,4,0,0,0,150.17,3,1
1,0,0,2,0,0,4,2,2018,2,5,2,0,0,0,97.0,0,1
2,1,2,5,0,1,0,42,2018,8,30,4,0,0,0,135.0,2,1
2,0,2,0,0,0,0,76,2018,9,18,3,0,0,0,102.68,0,0
1,0,0,1,0,0,0,4,2018,2,19,2,0,0,0,81.0,0,1
2,0,0,2,0,0,3,48,2018,5,24,4,0,0,0,140.4,1,1
1,0,0,1,0,0,0,22,2017,11,17,2,0,0,0,62.0,0,1
1,0,0,2,0,0,0,15,2017,8,27,4,0,0,0,80.0,1,0
2,0,2,2,0,0,0,123,2018,7,2,4,0,0,0,97.33,0,0
3,0,0,4,1,0,3,200,2018,8,24,4,0,0,0,187.5,1,0
2,0,0,2,0,0,0,11,2017,8,18,2,0,0,0,75.0,0,0
2,0,0,2,0,0,0,317,2018,9,15,4,0,0,0,120.0,0,0
1,0,0,4,0,0,3,20,2018,12,28,4,0,0,0,131.35,1,1
2,0,1,0,0,0,0,0,2017,8,17,4,0,0,0,138.0,0,1
2,0,0,1,3,0,0,29,2018,7,28,4,0,0,0,139.0,1,1
2,0,0,2,1,0,0,346,2018,9,13,3,0,0,0,115.0,1,0
2,0,1,0,3,0,0,1,2018,2,14,4,0,0,0,79.0,0,0
2,0,2,3,0,0,0,53,2018,3,19,3,0,0,0,70.0,1,1
2,0,0,3,0,0,0,8,2017,10,21,3,0,0,0,85.0,0,1
2,3,2,0,0,0,5,0,2017,8,9,4,0,0,0,153.0,0,1
1,0,1,2,0,0,0,118,2018,6,6,3,0,0,0,119.0,0,1
2,0,0,4,0,0,0,37,2017,11,11,4,0,0,0,90.95,1,1
2,0,1,0,0,0,0,1,2018,8,7,4,0,0,0,12.0,0,1
2,0,0,1,0,0,0,1,2018,3,9,4,0,0,0,101.0,1,1
2,0,2,3,0,0,0,59,2017,10,15,3,0,0,0,76.5,1,1
2,0,1,0,0,0,0,12,2018,10,16,4,0,0,0,160.0,1,1
2,0,1,1,0,0,0,138,2018,8,29,4,0,0,0,96.3,0,1
2,0,0,4,3,0,0,49,2018,11,16,4,0,0,0,74.8,2,0
2,0,1,2,3,0,0,88,2018,6,10,4,0,0,0,116.1,0,0
2,0,0,2,0,0,0,27,2017,9,30,3,0,0,0,108.0,0,1
3,0,1,5,0,0,3,128,2018,10,18,4,0,0,0,151.2,1,1
2,0,1,4,0,0,0,145,2018,7,11,3,0,0,0,72.25,0,0
2,0,1,1,3,0,0,36,2018,5,21,4,0,0,0,116.1,1,1
2,0,1,1,3,0,0,47,2018,5,21,4,0,0,0,116.1,0,0
1,0,0,2,1,0,0,39,2017,8,14,3,0,0,0,87.0,0,1
3,0,0,4,0,0,3,87,2018,7,27,4,0,0,0,139.95,1,1
1,0,0,0,0,0,0,1,2018,9,14,4,1,0,1,0.0,1,1
3,0,0,1,0,0,3,1,2018,2,26,4,0,0,0,127.0,0,1
2,1,0,2,0,0,0,167,2018,8,5,4,0,0,0,121.5,3,1
2,0,1,2,0,0,0,233,2018,10,14,3,0,0,0,90.0,0,0
2,0,2,2,0,0,0,125,2018,3,27,3,0,0,0,55.0,0,0
2,0,2,6,0,0,0,195,2018,9,3,4,0,0,0,109.23,0,0
1,0,0,1,0,0,0,118,2018,4,16,4,0,0,0,90.9,0,0
2,2,2,2,0,0,5,73,2018,3,27,4,0,0,0,155.76,0,0
2,0,0,2,3,0,0,9,2018,2,12,4,0,0,0,81.0,1,1
2,0,1,1,0,0,0,45,2018,1,23,4,0,0,0,80.3,0,1
1,0,0,3,0,0,0,151,2018,1,19,3,0,0,0,80.0,0,1
2,0,1,1,3,0,0,33,2018,5,9,4,0,0,0,104.49,0,0
2,0,0,2,3,0,0,45,2018,3,22,4,0,0,0,88.2,0,0
2,0,0,5,0,0,3,24,2018,6,14,4,0,0,0,150.0,2,1
3,0,2,2,0,0,4,66,2018,5,14,3,0,0,0,147.56,1,1
2,0,1,0,0,0,0,31,2018,5,22,4,0,0,0,108.9,2,1
2,0,0,2,0,0,1,23,2017,12,16,4,0,0,0,77.25,1,1
2,0,2,3,3,0,0,6,2018,10,27,4,0,0,0,128.0,1,1
2,0,0,2,1,0,0,265,2018,6,24,3,0,0,0,112.0,1,0
2,0,2,4,0,0,0,80,2018,3,26,3,0,0,0,80.75,0,1
2,0,2,4,0,0,0,135,2018,9,8,3,0,0,0,80.75,0,1
3,0,0,4,0,0,3,106,2018,8,24,4,0,0,0,152.1,0,0
2,0,2,3,0,0,0,21,2018,5,29,4,0,0,0,101.15,0,1
2,0,1,2,0,0,0,87,2017,9,18,4,0,0,0,89.25,1,1
2,0,0,4,0,0,0,228,2018,10,5,4,0,0,0,102.85,1,0
2,0,1,2,0,0,0,72,2018,12,23,4,0,0,0,93.6,1,1
2,0,0,2,1,0,0,69,2017,9,22,3,0,0,0,106.0,0,1
2,0,0,2,3,0,0,31,2018,9,8,4,0,0,0,112.59,2,1
2,0,2,5,0,0,0,88,2017,10,31,4,0,0,0,54.63,0,1
2,0,1,2,0,0,0,56,2018,11,14,3,0,0,0,75.0,0,1
2,1,0,4,0,0,0,278,2018,12,7,4,0,0,0,89.25,1,0
2,0,0,3,0,0,0,314,2018,10,12,3,0,0,0,75.0,0,0
2,0,0,3,0,0,0,58,2018,11,10,3,0,0,0,75.0,0,1
1,0,1,2,0,0,3,3,2018,9,12,2,0,0,0,110.0,0,1
2,2,2,1,0,0,5,292,2018,7,23,4,0,0,0,158.4,1,0
2,0,0,1,0,0,0,56,2018,6,8,3,0,0,0,120.0,0,1
2,0,0,4,0,0,3,12,2018,12,28,4,0,0,0,125.8,2,1
3,0,0,2,0,0,3,25,2018,7,26,4,0,0,0,187.0,2,1
1,0,0,2,0,0,0,192,2018,6,24,3,0,0,0,95.0,0,1
3,0,1,2,0,0,3,70,2018,4,4,4,0,0,0,128.7,2,1
2,0,1,2,0,0,0,105,2017,8,10,4,0,0,0,76.5,1,1
1,0,0,1,0,0,0,1,2018,3,30,2,0,0,0,88.0,0,1
2,0,1,4,0,0,0,114,2018,9,12,4,0,0,0,129.6,1,1
2,1,0,2,0,0,0,32,2018,4,20,4,0,0,0,126.0,2,1
1,0,2,5,0,0,3,5,2018,4,10,4,0,0,0,138.0,0,0
2,0,0,3,0,0,3,4,2018,9,13,4,0,0,0,174.67,1,1
3,0,2,2,0,0,3,165,2018,10,28,4,0,0,0,123.3,2,0
1,0,0,1,3,0,0,0,2018,10,15,4,0,0,0,140.0,0,1
2,0,0,2,1,0,0,102,2017,10,16,4,0,0,0,101.5,0,0
2,0,0,4,0,0,0,92,2017,10,7,3,0,0,0,70.0,0,1
2,0,2,1,3,0,0,89,2018,4,9,4,0,0,0,79.5,1,1
2,0,1,4,0,0,0,148,2017,12,30,3,0,0,0,67.0,0,1
2,0,1,0,0,0,0,125,2017,7,26,4,0,0,0,85.5,0,0
3,0,2,5,0,0,3,59,2018,5,28,4,0,0,0,159.3,2,1
3,0,1,2,0,0,0,81,2018,3,25,3,0,0,0,94.0,0,1
2,0,1,2,3,0,0,108,2018,5,2,4,0,0,0,94.5,1,1
2,0,2,1,3,0,0,60,2018,6,26,4,0,0,0,95.1,0,0
2,0,1,1,1,0,0,247,2018,6,6,3,0,0,0,115.0,1,0
2,0,1,4,3,0,0,67,2018,4,4,4,0,0,0,80.75,0,0
2,2,1,2,0,0,5,26,2018,9,19,4,0,0,0,232.33,0,0
2,2,1,2,1,0,5,150,2018,8,19,4,0,0,0,231.6,0,0
2,0,0,2,1,0,0,104,2017,10,6,3,0,0,0,114.0,1,0
3,0,1,1,0,0,3,6,2018,4,16,4,0,0,0,152.0,1,1
2,0,0,2,0,0,0,4,2018,1,8,4,0,0,0,87.0,1,1
2,0,0,3,0,0,0,44,2018,2,17,3,0,0,0,75.0,0,1
2,0,2,5,0,0,0,18,2018,3,3,4,0,0,0,61.15,0,1
2,0,2,1,3,0,0,60,2018,9,25,4,0,0,0,125.1,1,0
2,0,0,2,0,0,0,122,2018,4,15,3,0,0,0,85.0,0,1
2,0,0,3,0,0,0,98,2017,12,29,3,0,0,0,59.5,1,1
2,0,0,2,3,0,0,21,2018,10,26,4,0,0,0,110.0,1,0
3,0,2,5,0,0,3,24,2018,7,9,4,0,0,0,184.33,2,1
2,0,0,2,1,0,0,320,2018,8,18,3,0,0,0,115.0,1,0
2,0,0,1,0,0,0,9,2018,6,23,4,0,0,0,91.0,0,0
2,0,1,1,0,1,0,44,2017,9,21,4,0,0,0,95.4,0,1
2,0,1,4,0,0,0,29,2018,10,31,4,0,0,0,114.4,2,0
3,0,2,5,1,0,3,147,2018,10,24,4,0,0,0,178.59,0,0
2,0,2,1,0,0,0,62,2018,7,17,4,0,0,0,105.3,1,1
2,0,2,2,0,0,0,33,2018,10,29,4,0,0,0,90.52,1,1
2,0,0,2,0,0,0,17,2018,3,17,2,0,0,0,80.0,1,1
2,0,0,2,1,0,0,265,2018,6,24,3,0,0,0,115.0,1,0
3,0,0,4,0,0,3,180,2018,8,10,4,0,0,0,130.05,1,0
2,0,1,3,3,0,0,161,2018,10,31,3,0,0,0,59.5,0,1
2,0,0,1,0,0,0,443,2018,4,29,3,0,0,0,65.0,0,0
2,0,1,2,0,0,0,418,2018,9,26,3,0,0,0,75.0,0,0
1,0,2,2,0,0,0,156,2018,7,16,3,0,0,0,68.0,1,1
2,0,0,2,0,0,0,33,2017,10,1,4,0,0,0,79.35,1,1
2,0,2,6,3,0,0,51,2018,3,9,4,0,0,0,63.75,0,0
2,0,2,3,0,0,0,178,2018,6,4,4,0,0,0,100.3,0,0
1,0,0,2,1,0,0,6,2017,12,10,4,0,0,0,0.0,0,1
2,0,0,2,1,0,0,74,2017,9,18,3,0,0,0,101.5,0,1
2,0,1,3,0,0,0,170,2018,10,3,4,0,0,0,108.9,2,0
1,0,0,1,0,0,0,0,2018,5,25,1,1,2,4,0.0,3,1
2,0,2,5,3,0,0,11,2018,2,1,4,0,0,0,79.0,0,0
0,2,2,3,0,0,1,57,2018,10,15,4,0,0,0,110.36,2,1
2,0,2,2,0,0,0,39,2018,7,23,3,0,0,0,85.0,0,1
2,0,2,0,3,0,0,20,2018,12,18,4,0,0,0,97.0,1,1
2,0,2,4,0,0,0,209,2018,7,2,4,0,0,0,66.53,1,1
2,0,2,2,0,0,0,62,2018,11,12,4,0,0,0,105.0,2,1
2,0,0,4,0,0,0,204,2017,8,12,4,0,0,0,76.5,3,1
2,0,2,5,3,0,0,142,2018,7,4,4,0,0,0,94.11,0,1
2,0,0,3,0,0,0,279,2018,10,12,3,0,0,0,110.0,0,0
3,0,1,1,0,0,0,145,2018,7,23,4,0,0,0,142.2,1,1
1,0,0,1,0,0,0,6,2018,6,8,4,0,0,0,115.0,0,1
2,0,1,2,0,0,3,10,2018,9,5,4,0,0,0,164.0,1,1
1,0,0,3,0,0,0,15,2018,2,18,3,0,0,0,86.0,0,1
2,0,1,2,0,0,0,273,2018,5,13,4,0,0,0,95.0,0,0
2,0,1,2,0,0,0,4,2018,4,15,4,0,0,0,93.17,1,1
2,0,0,2,3,0,0,22,2018,9,15,4,0,0,0,139.0,1,0
2,0,1,2,0,0,0,57,2018,6,10,3,0,0,0,90.67,1,1
1,0,1,2,1,0,0,80,2018,9,26,3,0,0,0,86.0,0,1
2,1,1,2,0,0,0,62,2018,6,20,3,0,0,0,88.8,1,1
1,0,2,1,0,0,0,6,2017,10,11,4,0,0,0,97.02,2,1
2,0,1,0,0,1,0,16,2018,8,1,4,0,0,0,130.0,1,1
2,1,2,0,0,0,0,8,2018,9,18,4,0,0,0,196.0,2,1
2,1,2,5,0,0,0,75,2018,10,14,4,0,0,0,135.0,2,0
2,0,1,2,0,0,0,13,2018,10,10,2,0,0,0,159.0,0,1
1,0,0,1,0,0,0,3,2017,10,1,1,0,0,0,0.0,0,1
2,0,0,4,3,0,0,236,2018,9,27,4,0,0,0,84.43,1,0
2,0,1,2,3,0,0,10,2018,3,7,4,0,0,0,79.0,0,0
3,0,0,3,0,0,0,157,2018,12,8,3,0,0,0,92.65,0,1
1,0,0,2,3,0,0,6,2018,3,2,4,0,0,0,80.0,1,1
1,0,1,1,0,0,3,0,2017,10,19,4,0,0,0,113.0,1,1
2,0,2,1,1,0,0,110,2017,7,25,3,0,0,0,94.5,0,0
2,0,0,2,1,0,0,377,2018,10,14,3,0,0,0,115.0,1,0
2,0,0,4,0,0,0,206,2018,9,27,4,0,0,0,119.85,1,0
2,1,2,5,0,0,0,106,2017,7,29,4,0,0,0,106.75,2,0
2,1,0,2,0,0,0,31,2018,7,13,4,0,0,0,152.1,3,1
2,0,1,2,0,0,0,233,2018,10,14,3,0,0,0,90.0,0,0
2,0,0,3,0,0,0,5,2018,12,15,4,0,0,0,96.0,1,1
2,0,1,2,0,0,3,14,2018,6,3,4,0,0,0,149.33,1,1
2,0,0,3,0,0,3,48,2018,3,31,4,0,0,0,104.4,0,1
2,0,2,3,1,0,0,87,2018,6,26,4,0,0,0,141.3,0,0
2,2,2,2,3,0,5,8,2017,8,16,4,0,0,0,153.0,1,1
1,0,0,3,0,0,0,271,2018,9,21,4,0,0,0,0.0,0,1
2,1,2,3,0,0,0,75,2018,4,29,4,0,0,0,135.15,0,0
2,0,0,3,0,0,0,162,2018,7,14,3,0,0,0,112.0,1,0
3,0,0,3,0,0,3,10,2018,2,17,4,0,0,0,130.33,0,0
2,0,0,4,1,0,0,261,2018,11,15,4,0,0,0,106.25,0,0
1,2,1,2,0,0,5,28,2018,5,20,4,0,0,0,207.63,2,1
2,0,0,3,3,0,0,13,2018,10,25,4,0,0,0,87.78,1,1
2,0,1,2,0,0,0,273,2018,10,31,4,0,0,0,90.3,1,1
1,0,1,3,0,0,0,40,2017,10,19,3,0,0,0,75.6,0,0
2,0,1,5,0,0,3,113,2018,7,5,4,0,0,0,92.94,2,1
1,0,0,3,0,0,0,101,2018,10,13,3,0,0,0,80.0,0,1
2,0,2,2,0,0,3,59,2018,12,4,4,0,0,0,96.9,1,1
2,0,0,3,0,0,0,47,2018,10,18,3,0,0,0,85.5,0,1
